filename,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,rep,k,n_lambda,mu,sigma,min_size
rep1_k10_lambda10000_mu100,lp__,207.3770515,207.706,1.28516836923497,1.05783510000002,204.78605,208.77005,1.00282660984026,1289.01572196123,1314.31179266749,1,10,10000,100,34,10
rep1_k10_lambda10000_mu100,mu,133.247371375,133.5685,10.90857780382,10.6243116,114.53095,150.9149,1.00276268371607,1189.84722440902,1272.42800280724,1,10,10000,100,34,10
rep1_k10_lambda10000_mu100,sigma,30.5458662,30.52765,3.49256807522954,3.38514645,24.800255,36.488605,1.00252046635053,1201.99043298726,1141.91573463572,1,10,10000,100,34,10
rep1_k10_lambda10000_mu100,lambda,524.211671,520.976,73.7948956712966,73.4346606,412.84025,652.542,1.00199998905924,2140.67736094558,1911.17649222876,1,10,10000,100,34,10
rep1_k10_lambda10000_mu20,lp__,238.84992125,239.262,1.46248302578136,1.1075022,235.9401,240.391,1.00635299341467,822.895222075409,815.792314636665,1,10,10000,20,6.8,10
rep1_k10_lambda10000_mu20,mu,18.4750919926,19.14915,5.82986487897159,5.64937317,7.466334,26.98158,1.00483671042031,562.793775355484,418.545503913378,1,10,10000,20,6.8,10
rep1_k10_lambda10000_mu20,sigma,9.6375689525,9.394785,2.04700380485865,2.010931923,6.6656195,13.50143,1.00443253321053,551.187970354025,397.981780947057,1,10,10000,20,6.8,10
rep1_k10_lambda10000_mu20,lambda,498.19336875,497.0905,70.2031167805939,68.9698107,386.4612,614.8061,1.00086019429134,1172.86279998997,1369.3651697012,1,10,10000,20,6.8,10
rep1_k10_lambda10000_mu50,lp__,238.35670775,238.714,1.29766320468299,1.06598939999999,235.7838,239.773,1.00203029047403,1167.806018632,1803.04785870487,1,10,10000,50,17,10
rep1_k10_lambda10000_mu50,mu,81.869738525,83.2357,9.09381703041545,8.78277413999999,64.845615,94.46879,1.00588239667823,760.978454003658,986.40409175593,1,10,10000,50,17,10
rep1_k10_lambda10000_mu50,sigma,10.99010728,10.55085,3.09760574996108,2.99640873,6.6298,16.862845,1.00524174001034,758.777094465921,1029.05600148686,1,10,10000,50,17,10
rep1_k10_lambda10000_mu50,lambda,510.28704725,506.3075,71.6874169645851,72.1826049,399.94585,633.10465,1.00175643934786,1334.72926170046,1437.08422202766,1,10,10000,50,17,10
rep1_k10_lambda200_mu100,lp__,216.1390205,216.427,1.21123579232778,1.0422678,213.706,217.494,1.0014666870723,1589.20206427159,2222.03025767264,1,10,200,100,34,10
rep1_k10_lambda200_mu100,mu,108.1043981,108.251,10.0500819981617,10.3470654,91.34448,124.30545,1.00038038189359,1181.85662772655,1367.39643592358,1,10,200,100,34,10
rep1_k10_lambda200_mu100,sigma,26.78097065,26.71645,3.31059562753605,3.41531736,21.38427,32.376805,1.00104402409631,1164.89913554177,1445.96661865912,1,10,200,100,34,10
rep1_k10_lambda200_mu100,lambda,513.03149325,509.979,70.8188848756298,72.2797151999999,404.63865,636.12925,1.00240305320911,1799.02757685331,1569.18176135674,1,10,200,100,34,10
rep1_k10_lambda200_mu20,lp__,238.9096325,239.177,1.41221185327251,1.36399199999998,236.46275,240.578,1.07263966572806,42.2344093517594,931.578268132172,1,10,200,20,6.8,10
rep1_k10_lambda200_mu20,mu,13.89029486665,13.99725,5.74227187065834,5.83788576,3.784214,22.967005,1.31478414160656,10.4231091179151,13.3619189491106,1,10,200,20,6.8,10
rep1_k10_lambda200_mu20,sigma,8.1974161825,8.1915,2.03689451963004,2.027055198,4.87843,11.737195,1.31442063110824,10.3817782474711,14.2804881377984,1,10,200,20,6.8,10
rep1_k10_lambda200_mu20,lambda,500.983161,501.3405,65.0856261499489,58.5886455,395.35725,613.847,1.06621958944602,919.580110815451,1134.48296362462,1,10,200,20,6.8,10
rep1_k10_lambda200_mu50,lp__,230.505747,230.825,1.24164460266246,1.0096506,228.12595,231.85905,1.00166299336967,1329.63633173643,1070.99682468555,1,10,200,50,17,10
rep1_k10_lambda200_mu50,mu,44.6873585875,45.12615,7.61365316841635,7.36318464000001,31.557975,56.334455,1.0035457963612,1187.08013026031,883.686886543564,1,10,200,50,17,10
rep1_k10_lambda200_mu50,sigma,17.987762075,17.8134,2.60794380644668,2.535246,13.975545,22.460905,1.00353159535225,1226.43064429821,1068.21561038792,1,10,200,50,17,10
rep1_k10_lambda200_mu50,lambda,499.4315045,495.47,68.4060430376111,69.244833,394.1535,615.78205,1.0025673376075,1571.73554717952,1581.37212740836,1,10,200,50,17,10
rep1_k10_lambda2000_mu100,lp__,205.55377175,205.888,1.28094783246208,1.01780489999999,203.081,206.937,1.00327483979113,1171.60021849521,1499.41664041488,1,10,2000,100,34,10
rep1_k10_lambda2000_mu100,mu,113.63615835,113.871,9.75083636147651,9.87189210000001,97.425675,129.0163,1.00221840551253,1574.75295700145,1658.77655065704,1,10,2000,100,34,10
rep1_k10_lambda2000_mu100,sigma,32.504731125,32.40455,3.16186412169621,3.16520274,27.42414,37.8148,1.00231920037682,1556.31791782201,1448.35097395046,1,10,2000,100,34,10
rep1_k10_lambda2000_mu100,lambda,511.2772255,508.8155,72.617913739718,71.6073561000001,397.91845,636.5752,1.00215295003915,1740.01425309421,1539.47170364364,1,10,2000,100,34,10
rep1_k10_lambda2000_mu20,lp__,245.6631935,245.982,1.27770134958935,1.09564140000001,243.0994,247.10405,1.00772381486858,623.692043585073,935.065892159079,1,10,2000,20,6.8,10
rep1_k10_lambda2000_mu20,mu,27.811090305,28.3803,4.14999966793964,3.8517948,19.93238,33.59685,1.01116495255157,285.313440173838,98.6495599189772,1,10,2000,20,6.8,10
rep1_k10_lambda2000_mu20,sigma,5.19101013,4.997055,1.44941231765391,1.345214871,3.1443015,7.9472825,1.01226367578714,275.07080335828,94.0027019399157,1,10,2000,20,6.8,10
rep1_k10_lambda2000_mu20,lambda,504.86166575,503.265,70.0271378087878,71.0943765000001,393.89285,626.47295,1.00562479391896,1046.70333948871,1320.71730195069,1,10,2000,20,6.8,10
rep1_k10_lambda2000_mu50,lp__,236.27857325,236.5975,1.23516736385747,0.938485799999951,233.86555,237.569,1.00377755705748,1239.72151483682,1644.96594743631,1,10,2000,50,17,10
rep1_k10_lambda2000_mu50,mu,68.08109785,69.07725,8.36414400336177,8.36149335000001,52.34998,79.838505,1.00688557915034,1178.19421777309,1084.80989405506,1,10,2000,50,17,10
rep1_k10_lambda2000_mu50,sigma,13.41255995,13.12555,2.87603152905985,2.87616987,9.3409185,18.75961,1.00694507633931,1192.83835825765,1068.38722881078,1,10,2000,50,17,10
rep1_k10_lambda2000_mu50,lambda,508.9750195,505.9445,70.0668687066234,70.9305492,399.51025,627.4064,1.00302878904109,1673.70472187525,1476.4637598006,1,10,2000,50,17,10
