sample_number,sample_maxima,seed
1,3.810276680710665,1
2,3.6395736267402916,1
3,2.86214274756396,1
4,3.0645238926981246,1
5,2.7369702523202486,1
6,2.8615918114088927,1
7,3.6243613529406002,1
8,2.9553715893867727,1
9,3.376911791700498,1
10,3.1112030969173667,1
11,2.8710840783923044,1
12,3.247952622825927,1
13,3.727960759605766,1
14,2.757284874291944,1
15,3.4308376051674285,1
16,3.2151853623607156,1
17,3.4953831410864447,1
18,3.0153828132508,1
19,2.8810345771285384,1
20,3.6495326817191516,1
21,3.1475020881294626,1
22,3.1685284820617845,1
23,3.560074648937617,1
24,3.02337704937558,1
25,2.938939646184843,1
26,2.8902714726110847,1
27,2.9570524177292463,1
28,2.851516428663443,1
29,3.650776367293901,1
30,3.0863702928206567,1
31,3.0768070192906127,1
32,3.266047675068138,1
33,3.387611928969885,1
34,3.3643899988185213,1
35,2.954222440086554,1
36,2.834811271117427,1
37,3.809895306928404,1
38,3.2139916561966535,1
39,3.2878615466688252,1
40,3.0005016479613333,1
41,3.4846668601383484,1
42,2.921994186008479,1
43,2.8162238906595447,1
44,3.1607773759183035,1
45,3.3625980717306803,1
46,3.53272348885985,1
47,3.444787067957816,1
48,2.9718859384431897,1
49,3.5223713306396456,1
50,3.182914750362149,1
51,2.9484725112322034,1
52,3.4003252307448704,1
53,3.054694344393421,1
54,3.073325305015451,1
55,3.4141497485043777,1
56,2.853345167544644,1
57,3.2408784129996273,1
58,3.1990983321284427,1
59,3.4115472544181284,1
60,3.1942328531080406,1
61,3.0660933334037574,1
62,3.368666198363406,1
63,3.077341779181699,1
64,3.168970906314868,1
65,3.0852716158801576,1
66,3.200513723589143,1
67,2.690609444195106,1
68,3.1084994214095647,1
69,3.087750568975434,1
70,3.352494807147504,1
71,3.1185097118966967,1
72,2.626853888822664,1
73,3.9178631605973075,1
74,3.7472200226892585,1
75,2.8501457068308502,1
76,3.8565216720112336,1
77,2.8896648102717455,1
78,3.022560442517464,1
79,2.9201038328238185,1
80,2.692292759852664,1
81,3.319560545668407,1
82,3.5241527330618023,1
83,3.724270591374521,1
84,3.028084575224588,1
85,3.1770311992822977,1
86,3.2579998751669588,1
87,3.1673655606765303,1
88,3.1565909147755433,1
89,3.6989526376909723,1
90,3.4973676423977227,1
91,2.6975589438086627,1
92,4.313620697599183,1
93,3.082183683884831,1
94,2.6434513022254564,1
95,3.120622303810156,1
96,2.6720951251492306,1
97,2.829331098876989,1
98,3.200105913897423,1
99,3.3176544263331915,1
100,3.4544405202010577,1
1,3.0088167874241556,2
2,3.5398808651803657,2
3,3.2932746087440203,2
4,3.3027664315258476,2
5,2.874060146095415,2
6,2.9069941821290266,2
7,3.0585938063762237,2
8,3.5026819608277293,2
9,3.358687054986075,2
10,2.766125913113699,2
11,3.194734935652512,2
12,3.696346323460628,2
13,2.85588300044578,2
14,2.841306951128035,2
15,3.272894604354017,2
16,2.766672747438195,2
17,3.4652536867195716,2
18,3.0723504416445824,2
19,3.2146546494917247,2
20,3.06312342455791,2
21,3.3060417085147917,2
22,2.960281191532579,2
23,3.0597826686571774,2
24,3.2376413300548093,2
25,2.7793394938374676,2
26,3.1972028184743806,2
27,3.1631299330813962,2
28,2.8452851369432257,2
29,3.1944627480154075,2
30,3.8447772294905183,2
31,2.950813135490744,2
32,2.911869576160788,2
33,3.7657866763590144,2
34,3.7842297531694586,2
35,2.981074990474473,2
36,3.23756765257563,2
37,4.008318710151725,2
38,2.9242136747141254,2
39,2.7321433147481824,2
40,3.332827189490391,2
41,3.0514018898154194,2
42,3.1997326066551035,2
43,3.6652511492799635,2
44,3.6701780780788305,2
45,3.1949336457493747,2
46,3.44407654610222,2
47,2.975004355553452,2
48,2.914981092493677,2
49,3.5583818414077797,2
50,3.231040803402983,2
51,3.3603646825856757,2
52,3.293736751394779,2
53,3.0648210754698217,2
54,3.132403063965809,2
55,3.048272434589322,2
56,2.9320155668107986,2
57,3.0973979161696064,2
58,3.3852853177871673,2
59,2.800574658859185,2
60,3.099637630532179,2
61,3.2400015654408043,2
62,3.081582534771262,2
63,2.571696040754132,2
64,2.818303320729377,2
65,3.162598144999478,2
66,3.1081537680225364,2
67,3.145271493027524,2
68,2.8079824142231873,2
69,3.044399195543094,2
70,3.183223930164099,2
71,3.6210923424914303,2
72,2.912212426216943,2
73,3.348883250627735,2
74,3.0939856062140527,2
75,3.3092470564523375,2
