rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,loc_se,scale_se,shape_se
1,3,30,20,6.8,10,rep1_k3_lambda30_mu20,,,NA,NA,NA,NA,NA,NA
1,3,200,20,6.8,10,rep1_k3_lambda200_mu20,,,38.348072837840164,1.3080718281985682,-1.9856168284690205,1.9999976431191334e-6,1.9999979898168914e-6,1.9999981922467442e-6
1,3,10000,20,6.8,10,rep1_k3_lambda10000_mu20,,,NA,NA,NA,NA,NA,NA
1,5,50,20,6.8,10,rep1_k5_lambda50_mu20,,,NA,NA,NA,NA,NA,NA
1,5,2000,20,6.8,10,rep1_k5_lambda2000_mu20,,,42.71100515674426,1.1585583406397209,0.28707515974416714,0.7219189362294338,0.6232193790460276,0.7654031225675683
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,,,31.517004650303655,0.9538836460858221,0.5240437762670529,0.38772754140823895,0.3717793532954301,0.47036526257127576
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,,,37.2122365483442,2.9773007569461334,-0.445707103506781,1.0503763620042228,0.8024077968888402,0.25159710165427746
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,,,45.56922690268269,1.4320523136862466,0.39464425629112476,0.5464457029619071,0.4863739483102481,0.3694793559703339
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,,,35.02614661991729,2.84600616083484,-0.34056817514882876,0.6970789850554967,0.49258272078154425,0.13697985023512352
1,20,2000,20,6.8,10,rep1_k20_lambda2000_mu20,,,42.75187533568727,2.2473734212325622,-0.2628627529398045,0.5660076817827608,0.40986343330870706,0.17380348757984035
1,30,30,20,6.8,10,rep1_k30_lambda30_mu20,,,32.28825330893991,2.1667422417088398,-0.1664834449407678,0.4448684772055192,0.3142240173988734,0.1339081636092355
1,30,200,20,6.8,10,rep1_k30_lambda200_mu20,,,38.141856225430196,2.660093939034614,-0.22537284691976703,0.5548926686135789,0.40055787329454634,0.15660919754303257
