rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,gev_max
1,5,2000,20,6.8,10,rep1_k5_lambda2000_mu20,,,42.71100515674426,1.1585583406397209,0.28707515974416714,46.862232313402885
1,30,30,20,6.8,10,rep1_k30_lambda30_mu20,,,32.28825330893991,2.1667422417088398,-0.1664834449407678,38.45240407282213
2,10,200,20,6.8,10,rep2_k10_lambda200_mu20,,,37.72101703205012,2.004402642189154,0.013106591495191021,43.614994583309056
2,30,10000,20,6.8,10,rep2_k30_lambda10000_mu20,,,46.0486653712223,1.9070922964892656,-0.18276661657370244,51.31391305134249
3,10,200,20,6.8,10,rep3_k10_lambda200_mu20,,,37.01331277472171,2.4857850196314315,-0.27407343001159173,41.72876817456641
3,30,10000,20,6.8,10,rep3_k30_lambda10000_mu20,,,44.900322455260515,1.6264525354949173,0.1274030117439267,53.64491840679509
4,20,2000,20,6.8,10,rep4_k20_lambda2000_mu20,,,42.910363533985766,2.4225597438946562,-0.09396289815618185,50.128864877499645
5,10,30,20,6.8,10,rep5_k10_lambda30_mu20,,,32.98004561245511,3.1872862650638787,-0.1466626896536508,40.229505252469735
5,30,10000,20,6.8,10,rep5_k30_lambda10000_mu20,,,45.58073382444749,1.6226850408609554,-0.14540342889548838,50.38699760147287
6,10,200,20,6.8,10,rep6_k10_lambda200_mu20,,,36.05333132972505,1.128439696957499,0.7193867305211521,59.71543209104001
6,30,10000,20,6.8,10,rep6_k30_lambda10000_mu20,,,44.94361462683861,1.5955299421733742,0.13683092146817535,53.72776838594634
7,10,30,20,6.8,10,rep7_k10_lambda30_mu20,,,33.936992556681965,2.710861259521657,-0.49511871737403174,37.85951165123039
7,30,10000,20,6.8,10,rep7_k30_lambda10000_mu20,,,44.81314235553956,1.191993689397,-0.08990226529339768,48.73799687774763
8,10,10000,20,6.8,10,rep8_k10_lambda10000_mu20,,,45.602496333917564,1.4972160093160087,0.025462434248337135,50.1167785548143
8,100,2000,20,6.8,10,rep8_k100_lambda2000_mu20,,,42.659148778867106,1.9742498193467533,-0.14753531669375772,49.707208424148
9,20,2000,20,6.8,10,rep9_k20_lambda2000_mu20,,,42.867630898809864,2.3513424789673087,-0.4706411049427768,46.782302602767906
10,5,2000,20,6.8,10,rep10_k5_lambda2000_mu20,,,42.06740194750984,0.5271324490022921,0.7378253262381295,49.23067393689418
10,30,30,20,6.8,10,rep10_k30_lambda30_mu20,,,33.71910010148656,3.688119779046949,-0.14918286932944447,44.54506653816723
1,5,2000,50,17,10,rep1_k5_lambda2000_mu50,,,104.20560516196817,4.232708371345012,0.2796276788141764,119.10494441331252
1,30,30,50,17,10,rep1_k30_lambda30_mu50,,,81.5645897034395,6.847499856793603,-0.10621150435362946,103.43750559689522
2,10,30,50,17,10,rep2_k10_lambda30_mu50,,,79.47687731891259,5.413993467774747,0.15157033504818748,100.21567706368705
2,30,200,50,17,10,rep2_k30_lambda200_mu50,,,96.52336785655375,5.775282280244126,-0.7056468457675986,104.0305125414948
3,10,10000,50,17,10,rep3_k10_lambda10000_mu50,,,112.56375595867671,4.34403017605108,-0.041774411958899804,124.21472812422644
3,100,50,50,17,10,rep3_k100_lambda50_mu50,,,84.09358461129005,6.860821742839686,-0.09617079594860255,111.78628826601225
4,10,10000,50,17,10,rep4_k10_lambda10000_mu50,,,115.28156931851521,3.8337597118323323,-0.38842384806539104,121.5681049943786
4,100,50,50,17,10,rep4_k100_lambda50_mu50,,,85.24463392070642,9.099536124973902,-0.12867925654528106,119.22611498606281
5,20,2000,50,17,10,rep5_k20_lambda2000_mu50,,,105.15487350960673,3.915242167771858,0.2838506004167666,132.5234795254877
6,10,30,50,17,10,rep6_k10_lambda30_mu50,,,83.27660983552657,5.098883496646881,-0.23347442302069235,93.52379152330975
6,30,200,50,17,10,rep6_k30_lambda200_mu50,,,92.83285369141605,4.643822018327365,-0.1159882992598892,107.39332392072956
7,10,200,50,17,10,rep7_k10_lambda200_mu50,,,93.2109199887945,2.736561366824071,0.2013704581592678,104.76979338181802
7,30,10000,50,17,10,rep7_k30_lambda10000_mu50,,,113.8472621949752,3.6122848052779095,-0.08080827150010397,125.96482911625722
8,20,50,50,17,10,rep8_k20_lambda50_mu50,,,86.48088752379354,8.60569192608521,-0.34660003228009273,103.48016541719143
8,100,2000,50,17,10,rep8_k100_lambda2000_mu50,,,106.06844597708984,4.374233571913887,-0.004126691096722349,128.50578532709457
9,20,2000,50,17,10,rep9_k20_lambda2000_mu50,,,106.15087698954662,3.257357062679256,0.31445594785055075,130.92090210947907
10,5,2000,50,17,10,rep10_k5_lambda2000_mu50,,,103.84458805140018,2.663336220671801,0.18882800156541785,111.75463231490757
