rep,k,n_lambda,mu,sigma,min_size,filename,maxima
1,3,30,20,6.8,10,rep1_k3_lambda30_mu20,35.0187930976018
1,3,30,20,6.8,10,rep1_k3_lambda30_mu20,35.358232960451
1,3,30,20,6.8,10,rep1_k3_lambda30_mu20,29.8267382261505
1,3,30,50,17,10,rep1_k3_lambda30_mu50,72.7995556313247
1,3,30,50,17,10,rep1_k3_lambda30_mu50,84.9180573535936
1,3,30,50,17,10,rep1_k3_lambda30_mu50,79.4961852235881
1,3,30,100,34,10,rep1_k3_lambda30_mu100,151.146697990354
1,3,30,100,34,10,rep1_k3_lambda30_mu100,173.418629541975
1,3,30,100,34,10,rep1_k3_lambda30_mu100,136.295848263682
1,3,50,20,6.8,10,rep1_k3_lambda50_mu20,33.4739141306465
1,3,50,20,6.8,10,rep1_k3_lambda50_mu20,32.2197921104688
1,3,50,20,6.8,10,rep1_k3_lambda50_mu20,34.8324704259352
1,3,50,50,17,10,rep1_k3_lambda50_mu50,99.3393210230765
1,3,50,50,17,10,rep1_k3_lambda50_mu50,83.8156636906932
1,3,50,50,17,10,rep1_k3_lambda50_mu50,74.1660604932787
1,3,50,100,34,10,rep1_k3_lambda50_mu100,158.160053095054
1,3,50,100,34,10,rep1_k3_lambda50_mu100,168.795901286824
1,3,50,100,34,10,rep1_k3_lambda50_mu100,162.026863228645
1,3,200,20,6.8,10,rep1_k3_lambda200_mu20,37.3037137482412
1,3,200,20,6.8,10,rep1_k3_lambda200_mu20,42.062681004366
1,3,200,20,6.8,10,rep1_k3_lambda200_mu20,41.0847244799226
1,3,200,50,17,10,rep1_k3_lambda200_mu50,87.0743499142512
1,3,200,50,17,10,rep1_k3_lambda200_mu50,90.9362382974802
1,3,200,50,17,10,rep1_k3_lambda200_mu50,88.4691470880352
1,3,200,100,34,10,rep1_k3_lambda200_mu100,177.829841028534
1,3,200,100,34,10,rep1_k3_lambda200_mu100,187.560509569725
1,3,200,100,34,10,rep1_k3_lambda200_mu100,193.568932950819
1,3,2000,20,6.8,10,rep1_k3_lambda2000_mu20,45.8861149087588
1,3,2000,20,6.8,10,rep1_k3_lambda2000_mu20,46.7649788395925
1,3,2000,20,6.8,10,rep1_k3_lambda2000_mu20,41.800189505247
1,3,2000,50,17,10,rep1_k3_lambda2000_mu50,105.926231596372
1,3,2000,50,17,10,rep1_k3_lambda2000_mu50,105.670186343481
1,3,2000,50,17,10,rep1_k3_lambda2000_mu50,106.029202158238
1,3,2000,100,34,10,rep1_k3_lambda2000_mu100,208.664520286095
1,3,2000,100,34,10,rep1_k3_lambda2000_mu100,212.455934020238
1,3,2000,100,34,10,rep1_k3_lambda2000_mu100,217.722157793373
1,3,10000,20,6.8,10,rep1_k3_lambda10000_mu20,47.803862998557
1,3,10000,20,6.8,10,rep1_k3_lambda10000_mu20,46.9288961091892
1,3,10000,20,6.8,10,rep1_k3_lambda10000_mu20,45.3467310560277
1,3,10000,50,17,10,rep1_k3_lambda10000_mu50,113.101246229915
1,3,10000,50,17,10,rep1_k3_lambda10000_mu50,111.102684429145
1,3,10000,50,17,10,rep1_k3_lambda10000_mu50,119.11299257457
1,3,10000,100,34,10,rep1_k3_lambda10000_mu100,232.055698386542
1,3,10000,100,34,10,rep1_k3_lambda10000_mu100,232.520218091191
1,3,10000,100,34,10,rep1_k3_lambda10000_mu100,234.839276889002
1,5,30,20,6.8,10,rep1_k5_lambda30_mu20,34.7020267517497
1,5,30,20,6.8,10,rep1_k5_lambda30_mu20,34.5883658533922
1,5,30,20,6.8,10,rep1_k5_lambda30_mu20,32.2396843676494
1,5,30,20,6.8,10,rep1_k5_lambda30_mu20,35.9972941674156
1,5,30,20,6.8,10,rep1_k5_lambda30_mu20,34.9368305665151
1,5,30,50,17,10,rep1_k5_lambda30_mu50,81.6008283664562
1,5,30,50,17,10,rep1_k5_lambda30_mu50,93.6609960587761
1,5,30,50,17,10,rep1_k5_lambda30_mu50,83.2397801576911
1,5,30,50,17,10,rep1_k5_lambda30_mu50,79.2109736609174
1,5,30,50,17,10,rep1_k5_lambda30_mu50,80.4346107017089
1,5,30,100,34,10,rep1_k5_lambda30_mu100,158.016119187611
1,5,30,100,34,10,rep1_k5_lambda30_mu100,165.154001900121
1,5,30,100,34,10,rep1_k5_lambda30_mu100,173.281287910852
1,5,30,100,34,10,rep1_k5_lambda30_mu100,179.959334569024
1,5,30,100,34,10,rep1_k5_lambda30_mu100,191.941376969161
1,5,50,20,6.8,10,rep1_k5_lambda50_mu20,35.2371190987299
1,5,50,20,6.8,10,rep1_k5_lambda50_mu20,32.8172525354508
1,5,50,20,6.8,10,rep1_k5_lambda50_mu20,34.0563698327912
1,5,50,20,6.8,10,rep1_k5_lambda50_mu20,38.3717048348981
1,5,50,20,6.8,10,rep1_k5_lambda50_mu20,30.5149524190297
1,5,50,50,17,10,rep1_k5_lambda50_mu50,82.5533626773419
